Age Band,Gender,Patient Health Risk Level,Clinical Condition Type,Clinical Condition,Managing Physician Specialty,Managing Physician,Member Count,Episode Count,YTD Inpatient Short Stay Utilization,Annualized Inpatient Short Stay Utilization,Benchmark Inpatient Short Stay Utilization,YTD 30D Readmission Rate,YTD 30D Readmission Rate - D,YTD 30D Readmission Rate - N,Annualized 30D Readmission Rate,Annualized 30D Readmission Rate - D,Annualized 30D Readmission Rate - N,Benchmark 30D Readmission Rate,Benchmark 30D Readm Rate - D,Benchmark 30D Readm Rate - N,YTD 30D Post Discharge ER Rate,YTD 30D Post Discharge ER Rate - D,YTD 30D Post Discharge ER Rate - N,Annualized 30D Post Discharge ER Rate,Annualized 30D Post Discharge ER Rate - D,Annualized 30D Post Discharge ER Rate - N,Benchmark 30D Post Discharge ER Rate,Benchmark 30D ER Rate - D,Benchmark 30D ER Rate - N
65-74,F,High,Acute,A1,S1,P1,12,14.4,1.585782978,3.488722551,3.322592906,0.122571002,8.946325846,1.09656012,0.153213752,19.68191686,3.015540331,0.139285229,18.39431482,2.562056356,0.068983354,8.946325846,0.617147566,0.086229193,19.68191686,1.697155806,0.082123041,18.39431482,1.510597068
65-74,F,High,Acute,A1,S1,P2,26,2.492534347,0.274487398,0.603872277,0.575116454,0.122571002,1.548543364,0.189806511,0.153213752,3.406795402,0.521967906,0.139285229,3.183920936,0.443473157,0.068983354,1.548543364,0.106823716,0.086229193,3.406795402,0.293765218,0.082123041,3.183920936,0.261473269
65-74,F,High,Acute,A1,S1,P3,9,9.118664961,1.0041822,2.209200839,2.104000799,0.122571002,5.665176946,0.694386413,0.153213752,12.46338928,1.909562636,0.139285229,11.64802737,1.622398161,0.068983354,5.665176946,0.390802909,0.086229193,12.46338928,1.074707999,0.082123041,11.64802737,0.956571428
65-74,F,High,Acute,A1,S1,P4,22,4.962896833,0.546533147,1.202372924,1.14511707,0.122571002,3.083311959,0.377924635,0.153213752,6.78328631,1.039292747,0.139285229,6.339519916,0.883001484,0.068983354,3.083311959,0.212697201,0.086229193,6.78328631,0.584917304,0.082123041,6.339519916,0.520620653
65-74,F,High,Acute,A1,S1,P5,12,2.608401881,0.287247174,0.631943782,0.601851221,0.122571002,1.620528692,0.198629825,0.153213752,3.565163122,0.546232019,0.139285229,3.331928151,0.464088376,0.068983354,1.620528692,0.111789505,0.086229193,3.565163122,0.307421139,0.082123041,3.331928151,0.273628072
65-74,F,High,Acute,A1,S2,P6,10,1.301081573,0.14328007,0.315216154,0.300205861,0.122571002,0.808326368,0.099077373,0.153213752,1.77831801,0.272462775,0.139285229,1.661979449,0.231489188,0.068983354,0.808326368,0.055761064,0.086229193,1.77831801,0.153342927,0.082123041,1.661979449,0.136486806
65-74,F,High,Acute,A10,S3,P10,3,2.42840302,0.246611554,0.542545419,0.516709922,0.106048714,1.5255515,0.161782774,0.132560892,3.356213301,0.444902629,0.120509902,3.136647945,0.377997136,0.071321766,1.5255515,0.108805027,0.089152208,3.356213301,0.299213825,0.084906864,3.136647945,0.266322942
65-74,F,High,Acute,A10,S3,P11,16,2.560319304,0.260008045,0.572017699,0.544778761,0.106048714,1.60842287,0.170571176,0.132560892,3.538530314,0.469070735,0.120509902,3.307037677,0.398530786,0.071321766,1.60842287,0.11471556,0.089152208,3.538530314,0.315467789,0.084906864,3.307037677,0.2807902
65-74,F,High,Acute,A10,S3,P12,5,3.60498091,0.36609654,0.805412388,0.767059417,0.106048714,2.264691647,0.240167636,0.132560892,4.982321623,0.660460999,0.120509902,4.656375349,0.561139336,0.071321766,2.264691647,0.161521808,0.089152208,4.982321623,0.444184972,0.084906864,4.656375349,0.395358231
65-74,F,High,Acute,A10,S3,P13,19,7.227711384,0.733995601,1.614790323,1.537895546,0.106048714,4.540533781,0.481517766,0.132560892,9.989174317,1.324173858,0.120509902,9.335676932,1.12504151,0.071321766,4.540533781,0.323838888,0.089152208,9.989174317,0.890556943,0.084906864,9.335676932,0.792663056
65-74,F,High,Acute,A10,S4,P14,6,1.268860676,0.128856578,0.283484471,0.269985211,0.106048714,0.797113285,0.084532838,0.132560892,1.753649227,0.232465306,0.120509902,1.638924511,0.197506632,0.071321766,0.797113285,0.056851527,0.089152208,1.753649227,0.1563417,0.084906864,1.638924511,0.139155941
65-74,F,High,Acute,A10,S4,P15,5,2.617709612,0.265836202,0.584839644,0.556990137,0.106048714,1.64447614,0.174394579,0.132560892,3.617847509,0.479585093,0.120509902,3.381165896,0.40746397,0.071321766,1.64447614,0.117286943,0.089152208,3.617847509,0.322539092,0.084906864,3.381165896,0.287084194
65-74,F,High,Acute,A11,S3,P11,5,2.433044526,0.186756208,0.410863658,0.391298722,0.108331489,1.570091555,0.170090356,0.135414361,3.454201421,0.467748479,0.123103965,3.228225627,0.397407374,0.075492012,1.570091555,0.118529371,0.094365015,3.454201421,0.32595577,0.089871443,3.228225627,0.290125296
65-74,F,High,Acute,A11,S3,P12,14,3.673630218,0.281981379,0.620359033,0.590818127,0.108331489,2.370665937,0.256817771,0.135414361,5.215465062,0.70624887,0.123103965,4.874266413,0.600041521,0.075492012,2.370665937,0.178966342,0.094365015,5.215465062,0.492157441,0.089871443,4.874266413,0.438057357
65-74,F,High,Acute,A11,S3,P13,7,2.618600857,0.200999185,0.442198207,0.42114115,0.108331489,1.68983471,0.18306231,0.135414361,3.717636363,0.503421353,0.123103965,3.474426507,0.427715678,0.075492012,1.68983471,0.127569023,0.094365015,3.717636363,0.350814812,0.089871443,3.474426507,0.312251724
65-74,F,High,Acute,A11,S4,P14,18,3.632659368,0.278836528,0.613440363,0.584228917,0.108331489,2.344226641,0.253953563,0.135414361,5.15729861,0.698372297,0.123103965,4.819905243,0.593349445,0.075492012,2.344226641,0.176970386,0.094365015,5.15729861,0.486668563,0.089871443,4.819905243,0.43317184
65-74,F,High,Acute,A11,S4,P15,11,1.222774562,0.09385802,0.206487643,0.196654898,0.108331489,0.789080509,0.085482266,0.135414361,1.73597712,0.235076233,0.123103965,1.622408523,0.199724922,0.075492012,0.789080509,0.059569275,0.094365015,1.73597712,0.163815508,0.089871443,1.622408523,0.145808195
65-74,F,High,Acute,A11,S4,P16,7,3.800030891,0.291683671,0.641704077,0.61114674,0.108331489,2.452234781,0.265654245,0.135414361,5.394916519,0.730549174,0.123103965,5.041978055,0.620687489,0.075492012,2.452234781,0.185124138,0.094365015,5.394916519,0.50909138,0.089871443,5.041978055,0.453129844
65-74,F,High,Acute,A12,S3,P12,8,3.735664318,0.375815122,0.826793268,0.78742216,0.104738082,2.378074689,0.249074981,0.130922602,5.231764316,0.684956198,0.119020547,4.889499361,0.58195089,0.073118759,2.378074689,0.173881871,0.091398449,5.231764316,0.478175146,0.087046142,4.889499361,0.425612057
65-74,F,High,Acute,A12,S3,P13,12,3.93340804,0.395708526,0.870558758,0.829103579,0.104738082,2.503955737,0.262259521,0.130922602,5.508702622,0.721213682,0.119020547,5.148320207,0.612755889,0.073118759,2.503955737,0.183086137,0.091398449,5.508702622,0.503486877,0.087046142,5.148320207,0.448141413
65-74,F,High,Acute,A12,S4,P14,6,1.310387235,0.131827514,0.29002053,0.276210028,0.104738082,0.83417525,0.087369916,0.130922602,1.83518555,0.240267268,0.119020547,1.715126683,0.204135317,0.073118759,0.83417525,0.060993859,0.091398449,1.83518555,0.167733114,0.087046142,1.715126683,0.149295161
65-74,F,High,Acute,A12,S4,P15,16,3.684283112,0.370646072,0.815421359,0.77659177,0.104738082,2.34536609,0.245649145,0.130922602,5.159805399,0.675535149,0.119020547,4.822248036,0.573946601,0.073118759,2.34536609,0.171490259,0.091398449,5.159805399,0.471598212,0.087046142,4.822248036,0.419758088
