domain,measure,Baseline,YTD,Annualized,Target
Patient/Caregiver Experience,"CAHPS: Getting Timely Care, <br>Appointments, and Information",1.00,,,1.00
Patient/Caregiver Experience,CAHPS: How Well  <br>Your Providers Communicate,1.06,,,1.00
Patient/Caregiver Experience,CAHPS: Patients’ Rating  of Provider,1.03,,,1.00
Patient/Caregiver Experience,CAHPS: Access to Specialists,0.96,,,1.00
Patient/Caregiver Experience,CAHPS: Health Promotion and Education,0.78,,,1.00
Patient/Caregiver Experience,CAHPS: Shared Decision Making,0.98,,,1.00
Patient/Caregiver Experience,CAHPS: Health Status/Functional Status,1.00,,,1.00
Patient/Caregiver Experience,CAHPS: Stewardship of Patient Resources,0.91,,,1.00
Patient/Caregiver Experience,CAHPS: Courteous and Helpful Office Staff,1.00,,,1.00
Patient/Caregiver Experience,CAHPS: Care Coordination,1.00,,,1.00
Care Coordination/Patient Safety,"Risk-Standardized, All Condition Readmission",0.87,0.90,0.93,1.00
Care Coordination/Patient Safety,All-Cause Unplanned Admissions for  <br>Patients with Multiple Chronic Conditions,0.48,0.49,0.50,1.00
Care Coordination/Patient Safety,Ambulatory Sensitive Condition Acute Composite<br> (AHRQ Prevention Quality Indicator (PQI)#91),0.54,0.54,0.56,1.00
Care Coordination/Patient Safety,Falls: Screening for Future Fall Risk,0.87,0.51,0.92,1.00
Preventive Health,Preventive Care and Screening: <br> Influenza Immunization,0.89,0.59,0.95,1.00
Preventive Health,Preventive Care and Screening:Tobacco Use: <br>Screening and Cessation Intervention,1.00,1.00,1.00,1.00
Preventive Health,Preventive Care and Screening: <br>Screening for Depression and Follow-up Plan,1.00,1.00,1.00,1.00
Preventive Health,Colorectal Cancer Screening,0.64,0.47,0.68,1.00
Preventive Health,Breast Cancer Screening,0.64,0.34,0.61,1.00
Preventive Health,Statin Therapy for the Prevention  <br>and Treatment of Cardiovascular Disease,1.00,1.00,1.00,1.00
At-Risk Population,Depression Remission at Twelve Months,1.00,1.00,1.00,1.00
At-Risk Population,Diabetes Mellitus:  <br>Hemoglobin A1c Poor Control,0.38,0.40,0.42,1.00
At-Risk Population,Hypertension (HTN):  <br>Controlling High Blood Pressure,0.87,0.92,0.82,1.00
