Domain,Measure,YTD Level,Annualized Level ,Target(Risk Adj) ,Performance Diff from Target
Cost & Utilization Reduction,All Causes Average Cost per Patient,NA,NA,NA,NA
Cost & Utilization Reduction,CHF Related Average Cost per Patient,"$13,408 ","$28,673 ","$28,398 ",-1.00%
Cost & Utilization Reduction,All Causes Average IP Cost per Patient,NA,NA,NA,NA
Cost & Utilization Reduction,CHF Related Average IP Cost per Patient,NA,NA,NA,NA
Cost & Utilization Reduction,All Causes Hospitalization Rate,NA,NA,NA,NA
Cost & Utilization Reduction,CHF Related Hospitalization Rate,20%,40%,43%,3.00%
Cost & Utilization Reduction,All Causes ER Rate,NA,NA,NA,NA
Cost & Utilization Reduction,CHF Related ER Rate,NA,NA,NA,NA
Improving Disease Outcome,NT-proBNP Improvement %,-20%,-30%,-25%,5.00%
Improving Disease Outcome,LVEF Improvement %,2.50%,4.00%,3.20%,0.80%
Improving Disease Outcome,LAVi Improvement %,NA,NA,NA,NA
Improving Disease Outcome,LVEDVi Improvement %,NA,NA,NA,NA
Improving Disease Outcome,LVESVi and E/e’ Improvement %,NA,NA,NA,NA
Improving Disease Outcome,Change in Self-Care Score,NA,NA,NA,NA
Improving Disease Outcome,Change in Mobility Score ,NA,NA,NA,NA
Improving Disease Outcome,CV Mortality Rate,NA,NA,NA,NA
Increasing Patient Safety,Emergent care rate for medication side effect,2.50%,4.20%,5.50%,1.30%
Increasing Patient Safety,Hospitalization rate for medication side effect,NA,NA,NA,NA
Enhancing Care Quality,DOT,NA,NA,NA,NA
Enhancing Care Quality,PDC,NA,NA,NA,NA
Enhancing Care Quality,MPR,NA,NA,NA,NA
Better Patient Experience,Patient Reported SOB changes,NA,NA,NA,NA
Better Patient Experience,Patient Reported Fatigue and Tiredness Changes,NA,NA,NA,NA
Better Patient Experience,Patient Reported Peripheral Oedema Changes,NA,NA,NA,NA
